PROJETO-ID,PROJETO
404,1593 - CV - CELESTICA/FCPC PT 04
405,1594 - CV PADETEC/FCPC-OLEO ECOLOGICO
406,1595 - CV - JABIL/FCPC/COOPERACAO TECNICA-T.A 02
407,1596 - CV - JABIL/FCPC/T.A 001/2006
408,1597 - CV -  SEAP/CEAC/FCPC/021/2005
409,1599 - CT - FCPC/LANXESS/PRESTACAO DE SERVICOS
410,1600 - CV - LG/FCPC/2. TERMO ADITIVO
411,1601 - CV -  UFC/FCPC/TECHSUL N-1 COOPERACAO
412,1602 - CV - TELEMATICA/FCPC
413,1606 - CT - UFC/FCPC/C.ESP.EM BIOLOGIA MOLECULAR
414,1608 - CV - SAMSUNG/FCPC-PT 01-FACE RICOG
415,1609 - CV - FINEP/FUNPEC-FCPC/GEOFAMB
416,1610 - CARTA/FCPC/FARMAODONTO-90 ANOS
